Rk,Player,Pos,Age,Tm,G,MP,PER▼,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
104,Ersan İlyasova\ilyaser01,PF,30,TOT,69,1729,14.9,.558,.413,.220,7.6,18.0,12.9,7.9,1.7,1.3,9.7,18.7,,2.2,1.9,4.0,.112,,-0.2,-0.4,-0.6,0.6
105,Jeff Green\greenje02,PF,31,CLE,78,1828,14.8,.587,.275,.379,3.7,11.2,7.6,8.0,1.1,1.6,9.4,19.3,,3.1,0.8,3.9,.103,,-0.3,-1.5,-1.8,0.1
106,Thaddeus Young\youngth01,PF,29,IND,81,2607,14.8,.528,.209,.106,8.0,14.1,11.1,8.5,2.6,1.2,10.4,17.3,,2.3,3.2,5.5,.101,,-0.2,0.4,0.2,1.4
107,Marcin Gortat\gortama01,C,33,WAS,82,2075,14.7,.546,.000,.291,9.9,24.0,17.0,10.6,1.0,2.6,13.5,15.5,,2.4,2.4,4.9,.113,,-0.8,0.3,-0.6,0.8
108,Serge Ibaka\ibakase01,PF,28,TOR,76,2093,14.7,.574,.379,.151,4.3,21.0,12.8,4.4,0.7,3.8,9.7,19.4,,2.1,3.0,5.1,.117,,-0.1,0.0,-0.1,1.0
109,Robin Lopez\lopezro01,C,29,CHI,64,1690,14.7,.552,.022,.140,8.2,10.3,9.2,12.3,0.4,2.8,13.5,20.4,,1.2,0.7,1.9,.055,,-0.9,-1.3,-2.2,-0.1
110,Kent Bazemore\bazemke01,SG,28,ATL,65,1789,14.5,.547,.405,.297,1.6,13.9,7.7,20.1,2.7,2.2,17.0,22.5,,0.2,2.0,2.2,.059,,-0.4,1.0,0.6,1.2
111,Kris Dunn\dunnkr01,PG,23,CHI,52,1525,14.5,.488,.201,.171,1.6,14.4,7.8,33.3,3.3,1.6,17.3,24.7,,-1.0,1.9,0.9,.027,,-2.4,1.1,-1.3,0.3
112,Pascal Siakam\siakapa01,PF,23,TOR,81,1679,14.5,.549,.265,.175,5.4,18.6,12.1,13.5,1.8,2.0,11.1,15.7,,2.1,2.5,4.7,.133,,-0.3,1.6,1.3,1.4
113,Nicolas Batum\batumni01,SG,29,CHO,64,1981,14.4,.523,.422,.200,3.1,13.8,8.4,26.2,1.6,1.0,15.6,18.3,,1.7,1.8,3.5,.084,,0.5,-0.1,0.4,1.2
114,Tim Hardaway Jr.\hardati02,SG,25,NYK,57,1885,14.4,.533,.479,.209,1.9,11.3,6.6,12.7,1.6,0.5,9.0,23.8,,1.6,1.1,2.6,.067,,0.5,-1.1,-0.6,0.7
115,Joe Ingles\inglejo01,SF,30,UTA,82,2578,14.4,.623,.646,.116,1.1,13.9,7.6,22.9,1.8,0.7,17.4,15.9,,4.0,3.6,7.6,.141,,1.0,1.3,2.3,2.8
116,Frank Kaminsky\kaminfr01,PF,24,CHO,79,1835,14.4,.545,.383,.271,2.7,14.5,8.5,11.0,1.0,0.9,7.6,20.5,,2.3,1.3,3.6,.094,,0.6,-0.8,-0.2,0.8
117,DeMarre Carroll\carrode01,PF,31,BRK,73,2180,14.3,.550,.498,.313,5.1,18.4,11.7,10.5,1.3,1.0,10.3,19.8,,2.3,1.8,4.1,.091,,0.5,-0.4,0.2,1.2
118,Jerian Grant\grantje02,PG,25,CHI,74,1686,14.3,.528,.372,.374,1.9,9.3,5.5,30.1,1.8,0.4,13.2,17.4,,2.3,1.0,3.3,.094,,-0.9,-0.5,-1.3,0.3
119,Rodney Hood\hoodro01,SG,25,TOT,60,1616,14.3,.546,.443,.172,1.6,9.9,5.8,9.7,1.4,0.6,8.0,24.3,,1.2,1.5,2.7,.081,,0.8,-0.9,-0.1,0.8
120,Kyle Kuzma\kuzmaky01,PF,22,LAL,77,2401,14.2,.549,.418,.200,3.9,17.4,10.7,9.1,1.0,1.1,11.0,22.5,,1.5,2.3,3.8,.077,,0.3,-1.0,-0.7,0.8
121,Caris LeVert\leverca01,SF,23,BRK,71,1864,14.2,.525,.333,.254,3.0,11.9,7.4,26.0,2.1,0.9,15.8,22.5,,0.7,1.6,2.3,.058,,-0.8,0.0,-0.8,0.6
122,Shabazz Napier\napiesh01,PG,26,POR,74,1535,14.2,.544,.411,.260,1.9,10.1,6.0,14.6,2.6,0.7,13.2,19.5,,1.2,2.0,3.2,.101,,-0.7,1.4,0.7,1.0
123,Marco Belinelli\belinma01,SG,31,TOT,80,1947,14.1,.581,.517,.213,1.1,7.3,4.3,11.9,1.6,0.5,10.1,20.7,,2.4,1.3,3.7,.092,,0.4,-0.8,-0.5,0.8
